Arxiv_ID,Title,Abstract
http://arxiv.org/abs/1408.2041v1,GraphLab: A New Framework For Parallel Machine Learning,"Designing and implementing efficient, provably correct parallel machine learning (ML) algorithms is challenging. Existing high-level parallel abstractions like MapReduce are insufficiently expressive while low-level tools like MPI and Pthreads leave ML experts repeatedly solving the same design challenges. By targeting common patterns in ML, we developed GraphLab, which improves upon abstractions like MapReduce by compactly expressing asynchronous iterative algorithms with sparse computational dependencies while ensuring data consistency and achieving a high degree of parallel performance. We demonstrate the expressiveness of the GraphLab framework by designing and implementing parallel versions of belief propagation, Gibbs sampling, Co-EM, Lasso and Compressed Sensing. We show that using GraphLab we can achieve excellent parallel performance on large scale real-world problems."
http://arxiv.org/abs/0804.4744v1,"Lattice Problems, Gauge Functions and Parameterized Algorithms","Given a k-dimensional subspace M\subseteq \R n and a full rank integer lattice L\subseteq \R n, the \emph subspace avoiding problem  SAP is to find a shortest vector in L\setminus M. Treating k as a parameter, we obtain new parameterized approximation and exact algorithms for SAP based on the AKS sieving technique. More precisely, we give a randomized  (+\epsilon) -approximation algorithm for parameterized SAP that runs in time   O(n) .( \epsilon) k, where the parameter k is the dimension of the subspace M. Thus, we obtain a   O(n)  time algorithm for \epsilon=  -O(n k) . We also give a   O(n+k\log k)  exact algorithm for the parameterized SAP for any \ell_p norm.   Several of our algorithms work for all gauge functions as metric with some natural restrictions, in particular for all \ell_p norms. We also prove an \Omega( n) lower bound on the query complexity of AKS sieving based exact algorithms for SVP that accesses the gauge function as oracle."
http://arxiv.org/abs/1810.05500v1,Predictive Uncertainty through Quantization,"High-risk domains require reliable confidence estimates from predictive models. Deep latent variable models provide these, but suffer from the rigid variational distributions used for tractable inference, which err on the side of overconfidence. We propose Stochastic Quantized Activation Distributions (SQUAD), which imposes a flexible yet tractable distribution over discretized latent variables. The proposed method is scalable, self-normalizing and sample efficient. We demonstrate that the model fully utilizes the flexible distribution, learns interesting non-linearities, and provides predictive uncertainty of competitive quality."
http://arxiv.org/abs/1304.0084v2,Faster Algorithms for Markov Decision Processes with Low Treewidth,"We consider two core algorithmic problems for probabilistic verification: the maximal end-component decomposition and the almost-sure reachability set computation for Markov decision processes (MDPs). For MDPs with treewidth  k , we present two improved static algorithms for both the problems that run in time  O(n \cdot k  .  \cdot  k)  and  O(m \cdot \log n \cdot k) , respectively, where  n  is the number of states and  m  is the number of edges, significantly improving the previous known  O(n\cdot k \cdot \sqrt n\cdot k )  bound for low treewidth. We also present decremental algorithms for both problems for MDPs with constant treewidth that run in amortized logarithmic time, which is a huge improvement over the previously known algorithms that require amortized linear time."
http://arxiv.org/abs/cs/0507020v1,First-order queries on structures of bounded degree are computable with   constant delay,"A bounded degree structure is either a relational structure all of whose relations are of bounded degree or a functional structure involving bijective functions only. In this paper, we revisit the complexity of the evaluation problem of not necessarily Boolean first-order queries over structures of bounded degree. Query evaluation is considered here as a dynamical process. We prove that any query on bounded degree structures is  \constantdelaylin , i.e., can be computed by an algorithm that has two separate parts: it has a precomputation step of linear time in the size of the structure and then, it outputs all tuples one by one with a constant (i.e. depending on the size of the formula only) delay between each. Seen as a global process, this implies that queries on bounded structures can be evaluated in total time  O(f(|\phi|).(|\calS|+|\phi(\calS)|))  and space  O(f(|\phi|).|\calS|)  where  \calS  is the structure,  \phi  is the formula,  \phi(\calS)  is the result of the query and  f  is some function.   Among other things, our results generalize a result of \cite Seese-  on the data complexity of the model-checking problem for bounded degree structures. Besides, the originality of our approach compared to that \cite Seese-  and comparable results is that it does not rely on the Hanf's model-theoretic technic (see \cite Hanf- ) and is completely effective."
http://arxiv.org/abs/1804.10718v1,Data-Driven Methods for Solving Algebra Word Problems,"We explore contemporary, data-driven techniques for solving math word problems over recent large-scale datasets. We show that well-tuned neural equation classifiers can outperform more sophisticated models such as sequence to sequence and self-attention across these datasets. Our error analysis indicates that, while fully data driven models show some promise, semantic and world knowledge is necessary for further advances."
http://arxiv.org/abs/1305.4263v1,Self-Stabilizing Paxos,"We present the first self-stabilizing consensus and replicated state machine for asynchronous message passing systems. The scheme does not require that all participants make a certain number of steps prior to reaching a practically infinite execution where the replicated state machine exhibits the desired behavior. In other words, the system reaches a configuration from which it operates according to the specified requirements of the replicated state-machine, for a long enough execution regarding all practical considerations."
http://arxiv.org/abs/1611.05181v3,Graph Learning from Data under Structural and Laplacian Constraints,"Graphs are fundamental mathematical structures used in various fields to represent data, signals and processes. In this paper, we propose a novel framework for learning estimating graphs from data. The proposed framework includes (i) formulation of various graph learning problems, (ii) their probabilistic interpretations and (iii) associated algorithms. Specifically, graph learning problems are posed as estimation of graph Laplacian matrices from some observed data under given structural constraints (e.g., graph connectivity and sparsity level). From a probabilistic perspective, the problems of interest correspond to maximum a posteriori (MAP) parameter estimation of Gaussian-Markov random field (GMRF) models, whose precision (inverse covariance) is a graph Laplacian matrix. For the proposed graph learning problems, specialized algorithms are developed by incorporating the graph Laplacian and structural constraints. The experimental results demonstrate that the proposed algorithms outperform the current state-of-the-art methods in terms of accuracy and computational efficiency."
http://arxiv.org/abs/1904.00714v1,Combining Crowd and Machines for Multi-predicate Item Screening,"This paper discusses how crowd and machine classifiers can be efficiently combined to screen items that satisfy a set of predicates. We show that this is a recurring problem in many domains, present machine-human (hybrid) algorithms that screen items efficiently and estimate the gain over human-only or machine-only screening in terms of performance and cost. We further show how, given a new classification problem and a set of classifiers of unknown accuracy for the problem at hand, we can identify how to manage the cost-accuracy trade off by progressively determining if we should spend budget to obtain test data (to assess the accuracy of the given classifiers), or to train an ensemble of classifiers, or whether we should leverage the existing machine classifiers with the crowd, and in this case how to efficiently combine them based on their estimated characteristics to obtain the classification. We demonstrate that the techniques we propose obtain significant cost accuracy improvements with respect to the leading classification algorithms."
http://arxiv.org/abs/1807.10653v1,Learning associations between clinical information and motion-based   descriptors using a large scale MR-derived cardiac motion atlas,"The availability of large scale databases containing imaging and non-imaging data, such as the UK Biobank, represents an opportunity to improve our understanding of healthy and diseased bodily function. Cardiac motion atlases provide a space of reference in which the motion fields of a cohort of subjects can be directly compared. In this work, a cardiac motion atlas is built from cine MR data from the UK Biobank (~  subjects). Two automated quality control strategies are proposed to reject subjects with insufficient image quality. Based on the atlas, three dimensionality reduction algorithms are evaluated to learn data-driven cardiac motion descriptors, and statistical methods used to study the association between these descriptors and non-imaging data. Results show a positive correlation between the atlas motion descriptors and body fat percentage, basal metabolic rate, hypertension, smoking status and alcohol intake frequency. The proposed method outperforms the ability to identify changes in cardiac function due to these known cardiovascular risk factors compared to ejection fraction, the most commonly used descriptor of cardiac function. In conclusion, this work represents a framework for further investigation of the factors influencing cardiac health."
